"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"24","CITS(rho = 0.4)","25.00 (9.6800)","5.00 (4.8700)","25.00 (9.6800)","20.00 (8.9400)","40.00 (10.9500)","85.00 (7.9800)","95.00 (4.8700)","95.00 (4.8700)","100.00 (0.0000)","75.00 (9.6800)","95.00 (4.8700)","100.00 (0.0000)","95.00 (4.8700)","95.00 (4.8700)","70.00 (10.2500)"
"24","Trd","30.00 (10.2500)","25.00 (9.6800)","10.00 (6.7100)","25.00 (9.6800)","30.00 (10.2500)","50.00 (11.1800)","50.00 (11.1800)","35.00 (10.6700)","50.00 (11.1800)","40.00 (10.9500)","50.00 (11.1800)","65.00 (10.6700)","45.00 (11.1200)","70.00 (10.2500)","60.00 (10.9500)"
"28","CITS","15.00 (7.9800)","15.00 (7.9800)","5.00 (4.8700)","15.00 (7.9800)","25.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)","85.00 (7.9800)","70.00 (10.2500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)","100.00 (0.0000)"
"28","CITS(rho = 0.4)","15.00 (7.9800)","15.00 (7.9800)","10.00 (6.7100)","20.00 (8.9400)","55.00 (11.1200)","90.00 (6.7100)","90.00 (6.7100)","95.00 (4.8700)","80.00 (8.9400)","60.00 (10.9500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","75.00 (9.6800)"
"28","Trd","20.00 (8.9400)","20.00 (8.9400)","20.00 (8.9400)","35.00 (10.6700)","15.00 (7.9800)","30.00 (10.2500)","50.00 (11.1800)","50.00 (11.1800)","35.00 (10.6700)","30.00 (10.2500)","65.00 (10.6700)","65.00 (10.6700)","70.00 (10.2500)","50.00 (11.1800)","45.00 (11.1200)"
"32","CITS","20.00 (8.9400)","10.00 (6.7100)","30.00 (10.2500)","35.00 (10.6700)","35.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","85.00 (7.9800)","80.00 (8.9400)","75.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","85.00 (7.9800)","90.00 (6.7100)"
"32","CITS(rho = 0.4)","20.00 (8.9400)","20.00 (8.9400)","20.00 (8.9400)","15.00 (7.9800)","25.00 (9.6800)","90.00 (6.7100)","100.00 (0.0000)","100.00 (0.0000)","80.00 (8.9400)","65.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)","75.00 (9.6800)"
"32","Trd","20.00 (8.9400)","10.00 (6.7100)","25.00 (9.6800)","15.00 (7.9800)","25.00 (9.6800)","35.00 (10.6700)","30.00 (10.2500)","30.00 (10.2500)","55.00 (11.1200)","45.00 (11.1200)","65.00 (10.6700)","40.00 (10.9500)","65.00 (10.6700)","40.00 (10.9500)","40.00 (10.9500)"
"36","CITS","10.00 (6.7100)","20.00 (8.9400)","25.00 (9.6800)","35.00 (10.6700)","30.00 (10.2500)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)","85.00 (7.9800)","75.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","80.00 (8.9400)"
"36","CITS(rho = 0.4)","10.00 (6.7100)","25.00 (9.6800)","30.00 (10.2500)","30.00 (10.2500)","50.00 (11.1800)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","75.00 (9.6800)","55.00 (11.1200)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","85.00 (7.9800)"
"36","Trd","15.00 (7.9800)","30.00 (10.2500)","15.00 (7.9800)","20.00 (8.9400)","35.00 (10.6700)","30.00 (10.2500)","55.00 (11.1200)","30.00 (10.2500)","60.00 (10.9500)","10.00 (6.7100)","40.00 (10.9500)","60.00 (10.9500)","65.00 (10.6700)","60.00 (10.9500)","40.00 (10.9500)"
"40","CITS","15.00 (7.9800)","20.00 (8.9400)","30.00 (10.2500)","35.00 (10.6700)","35.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","90.00 (6.7100)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","75.00 (9.6800)"
"40","CITS(rho = 0.4)","5.00 (4.8700)","20.00 (8.9400)","15.00 (7.9800)","15.00 (7.9800)","35.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","90.00 (6.7100)","65.00 (10.6700)","95.00 (4.8700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","60.00 (10.9500)"
"40","Trd","5.00 (4.8700)","10.00 (6.7100)","15.00 (7.9800)","25.00 (9.6800)","20.00 (8.9400)","30.00 (10.2500)","35.00 (10.6700)","65.00 (10.6700)","45.00 (11.1200)","45.00 (11.1200)","80.00 (8.9400)","70.00 (10.2500)","35.00 (10.6700)","60.00 (10.9500)","40.00 (10.9500)"
"44","CITS","5.00 (4.8700)","5.00 (4.8700)","15.00 (7.9800)","15.00 (7.9800)","35.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","85.00 (7.9800)","60.00 (10.9500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)"
"44","CITS(rho = 0.4)","0.00 (0.0000)","25.00 (9.6800)","20.00 (8.9400)","25.00 (9.6800)","45.00 (11.1200)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","95.00 (4.8700)","50.00 (11.1800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)"
"44","Trd","20.00 (8.9400)","10.00 (6.7100)","20.00 (8.9400)","20.00 (8.9400)","55.00 (11.1200)","40.00 (10.9500)","45.00 (11.1200)","50.00 (11.1800)","30.00 (10.2500)","25.00 (9.6800)","75.00 (9.6800)","65.00 (10.6700)","60.00 (10.9500)","40.00 (10.9500)","50.00 (11.1800)"
