"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"20","CITS","-0.0578 (0.0986)","-0.0436 (0.1089)","-0.0483 (0.1386)","-0.0320 (0.2125)","-0.1788 (0.3389)","-0.3829 (0.0781)","-0.3810 (0.0906)","-0.3665 (0.1368)","-0.4084 (0.2648)","-0.4352 (0.3988)","-0.5942 (0.0969)","-0.5476 (0.1671)","-0.5200 (0.2169)","-0.5742 (0.2413)","-0.4985 (0.3275)"
"20","CITS(rho = 0.4)","-0.0352 (0.1479)","-0.0402 (0.1200)","-0.0553 (0.1337)","-0.0569 (0.1852)","-0.0463 (0.3321)","-0.3473 (0.1403)","-0.4038 (0.1383)","-0.3820 (0.1696)","-0.3738 (0.2493)","-0.3525 (0.4355)","-0.5958 (0.1396)","-0.5359 (0.1124)","-0.5538 (0.2108)","-0.4923 (0.2100)","-0.4445 (0.3053)"
"20","Trd","0.0017 (0.3557)","-0.1001 (0.3066)","0.0044 (0.2794)","0.0022 (0.2755)","0.0656 (0.5681)","-0.4272 (0.2675)","-0.3972 (0.3776)","-0.3097 (0.3638)","-0.3534 (0.3408)","-0.3710 (0.4793)","-0.4660 (0.2858)","-0.4923 (0.2375)","-0.4661 (0.4235)","-0.4363 (0.4739)","-0.4579 (0.4943)"
"24","CITS","-0.0624 (0.0651)","-0.0589 (0.0971)","-0.0656 (0.1034)","-0.0233 (0.1158)","-0.0248 (0.4207)","-0.3900 (0.1052)","-0.3676 (0.0847)","-0.3245 (0.1227)","-0.4140 (0.1669)","-0.3920 (0.3269)","-0.5212 (0.0883)","-0.5252 (0.1262)","-0.4624 (0.1541)","-0.5581 (0.1989)","-0.6891 (0.3477)"
"24","CITS(rho = 0.4)","-0.0567 (0.1219)","-0.0466 (0.1015)","-0.0710 (0.0874)","-0.0224 (0.1496)","-0.0406 (0.3663)","-0.3978 (0.1747)","-0.3453 (0.1070)","-0.3322 (0.1099)","-0.4104 (0.1142)","-0.4326 (0.3312)","-0.5001 (0.1790)","-0.5260 (0.1530)","-0.4930 (0.1681)","-0.5536 (0.1931)","-0.5396 (0.3624)"
"24","Trd","-0.1174 (0.3107)","0.0594 (0.2937)","-0.0168 (0.3132)","-0.0826 (0.3809)","-0.1638 (0.5812)","-0.4105 (0.2732)","-0.3495 (0.3828)","-0.2026 (0.2922)","-0.5405 (0.3776)","-0.4271 (0.5479)","-0.3949 (0.2806)","-0.6097 (0.2843)","-0.5159 (0.3138)","-0.5067 (0.3602)","-0.4654 (0.6658)"
"28","CITS","-0.0461 (0.1087)","-0.0406 (0.1167)","0.0115 (0.1047)","0.0043 (0.1677)","-0.0359 (0.2368)","-0.3704 (0.0876)","-0.3234 (0.0718)","-0.3857 (0.1104)","-0.3768 (0.2002)","-0.3411 (0.2286)","-0.5536 (0.0890)","-0.4989 (0.0710)","-0.5906 (0.1360)","-0.4844 (0.1654)","-0.6666 (0.2937)"
"28","CITS(rho = 0.4)","-0.0679 (0.1472)","-0.0437 (0.1594)","0.0005 (0.1185)","-0.0105 (0.1956)","0.0761 (0.3207)","-0.3643 (0.1410)","-0.3203 (0.0940)","-0.3608 (0.1142)","-0.3587 (0.2006)","-0.3805 (0.3160)","-0.5565 (0.1258)","-0.4805 (0.1070)","-0.5861 (0.1292)","-0.5119 (0.1370)","-0.5340 (0.3035)"
"28","Trd","0.0408 (0.3361)","-0.0172 (0.3418)","0.0068 (0.3872)","-0.0850 (0.5538)","0.0430 (0.4560)","-0.3778 (0.2358)","-0.3862 (0.2375)","-0.3858 (0.2940)","-0.3021 (0.3967)","-0.6914 (0.7485)","-0.5043 (0.2939)","-0.5085 (0.3264)","-0.6309 (0.3133)","-0.4204 (0.5516)","-0.4321 (0.6648)"
"32","CITS","-0.0605 (0.0814)","-0.0200 (0.1070)","-0.0218 (0.1312)","-0.0912 (0.1305)","-0.0038 (0.3149)","-0.3672 (0.0753)","-0.3642 (0.0795)","-0.3393 (0.1064)","-0.3754 (0.2185)","-0.4518 (0.2612)","-0.4984 (0.0839)","-0.4688 (0.0661)","-0.5075 (0.1228)","-0.4078 (0.1951)","-0.5698 (0.2563)"
"32","CITS(rho = 0.4)","-0.0749 (0.0933)","-0.0338 (0.1163)","-0.0506 (0.1211)","-0.0610 (0.1321)","0.0825 (0.2967)","-0.3734 (0.1198)","-0.3886 (0.0986)","-0.3281 (0.0986)","-0.3812 (0.1876)","-0.4721 (0.2882)","-0.4628 (0.1644)","-0.4925 (0.1036)","-0.4944 (0.0830)","-0.4262 (0.1598)","-0.5571 (0.2997)"
"32","Trd","-0.1484 (0.2750)","0.0276 (0.2444)","0.0739 (0.3656)","-0.0704 (0.3756)","0.1059 (0.5567)","-0.2980 (0.2755)","-0.2675 (0.2710)","-0.3109 (0.3382)","-0.5968 (0.3933)","-0.4721 (0.5324)","-0.5252 (0.2809)","-0.4434 (0.2633)","-0.6079 (0.3720)","-0.4118 (0.4556)","-0.5125 (0.6978)"
"36","CITS","-0.0432 (0.0720)","-0.0627 (0.0748)","-0.0033 (0.1234)","-0.0471 (0.1525)","-0.0060 (0.2682)","-0.3349 (0.0584)","-0.3820 (0.0850)","-0.3484 (0.1080)","-0.3386 (0.1645)","-0.4439 (0.2725)","-0.5073 (0.0798)","-0.5714 (0.1033)","-0.4952 (0.0949)","-0.4898 (0.1551)","-0.4404 (0.2557)"
"36","CITS(rho = 0.4)","-0.0560 (0.0991)","-0.0499 (0.0962)","-0.0105 (0.1345)","-0.0198 (0.1751)","-0.1623 (0.3963)","-0.3720 (0.1037)","-0.3891 (0.0920)","-0.3418 (0.0924)","-0.3492 (0.1698)","-0.3266 (0.3221)","-0.4969 (0.1159)","-0.5750 (0.1199)","-0.5136 (0.1032)","-0.4824 (0.1518)","-0.6147 (0.3100)"
"36","Trd","-0.0324 (0.2331)","-0.0977 (0.3798)","-0.0604 (0.2903)","-0.0027 (0.4919)","-0.1856 (0.6505)","-0.2486 (0.2310)","-0.4093 (0.2577)","-0.2898 (0.3601)","-0.6347 (0.4482)","-0.2045 (0.4625)","-0.3306 (0.2687)","-0.4770 (0.3149)","-0.5724 (0.2884)","-0.4349 (0.4791)","-0.5393 (0.5493)"
"40","CITS","-0.0208 (0.0670)","-0.0545 (0.1002)","-0.0631 (0.1274)","-0.0613 (0.1746)","-0.0005 (0.3041)","-0.3642 (0.0673)","-0.3567 (0.0891)","-0.3617 (0.0946)","-0.3796 (0.1404)","-0.4312 (0.2961)","-0.4938 (0.0655)","-0.5200 (0.0598)","-0.5110 (0.1080)","-0.5842 (0.1583)","-0.5050 (0.3007)"
"40","CITS(rho = 0.4)","-0.0113 (0.0984)","-0.0306 (0.1172)","-0.0586 (0.1162)","-0.0734 (0.1572)","-0.0431 (0.3406)","-0.3529 (0.0873)","-0.3567 (0.0891)","-0.3481 (0.0957)","-0.3821 (0.1211)","-0.3696 (0.3464)","-0.4837 (0.1118)","-0.5242 (0.0696)","-0.5234 (0.1117)","-0.5611 (0.1825)","-0.4942 (0.3009)"
"40","Trd","0.0553 (0.2430)","-0.0880 (0.2246)","-0.0623 (0.3160)","0.0533 (0.4276)","-0.0113 (0.6329)","-0.3232 (0.1664)","-0.3067 (0.2876)","-0.4901 (0.2737)","-0.2893 (0.5501)","-0.4588 (0.6770)","-0.5586 (0.2333)","-0.5159 (0.2437)","-0.3800 (0.3754)","-0.6000 (0.3360)","-0.5038 (0.5027)"
"44","CITS","-0.0211 (0.0653)","-0.0377 (0.0608)","-0.0198 (0.1222)","-0.0598 (0.1426)","0.0373 (0.2809)","-0.3687 (0.0494)","-0.3528 (0.0821)","-0.3754 (0.0758)","-0.3360 (0.1352)","-0.3468 (0.2399)","-0.5298 (0.0635)","-0.5140 (0.0763)","-0.5029 (0.0858)","-0.5583 (0.1315)","-0.5815 (0.2887)"
"44","CITS(rho = 0.4)","-0.0101 (0.0802)","-0.0532 (0.1019)","-0.0330 (0.1355)","-0.0491 (0.1221)","0.0129 (0.3109)","-0.3826 (0.0973)","-0.3680 (0.0863)","-0.3803 (0.0810)","-0.3595 (0.0866)","-0.2622 (0.2671)","-0.5269 (0.1021)","-0.5025 (0.0870)","-0.4932 (0.0713)","-0.4949 (0.1217)","-0.5653 (0.2459)"
"44","Trd","-0.0228 (0.2624)","-0.0362 (0.2443)","-0.0633 (0.3520)","-0.0937 (0.3619)","0.0336 (0.8930)","-0.3130 (0.2568)","-0.3735 (0.1774)","-0.3177 (0.4620)","-0.2931 (0.3695)","-0.1775 (0.6419)","-0.4541 (0.2561)","-0.5396 (0.2809)","-0.5800 (0.4149)","-0.3683 (0.3945)","-0.5098 (0.7847)"
"48","CITS","-0.0603 (0.0774)","-0.0514 (0.0741)","-0.0222 (0.1069)","-0.0473 (0.1455)","-0.0421 (0.2707)","-0.3699 (0.0502)","-0.3552 (0.0540)","-0.3425 (0.0880)","-0.3751 (0.1475)","-0.4099 (0.2550)","-0.5199 (0.0679)","-0.5298 (0.0836)","-0.5121 (0.0937)","-0.4625 (0.1485)","-0.5490 (0.3517)"
"48","CITS(rho = 0.4)","-0.0883 (0.0905)","-0.0451 (0.0862)","-0.0157 (0.0908)","-0.0200 (0.1455)","-0.1084 (0.2354)","-0.3846 (0.0900)","-0.3588 (0.0839)","-0.3498 (0.0907)","-0.3908 (0.1599)","-0.3580 (0.3229)","-0.5194 (0.0964)","-0.5277 (0.1191)","-0.5082 (0.0962)","-0.4489 (0.1350)","-0.5714 (0.3483)"
