"","","","","","","","","","","","","","","","",""
"24","CITS(rho = 0.4)","75.00 (9.6800)","95.00 (4.8700)","95.00 (4.8700)","90.00 (6.7100)","65.00 (10.6700)","65.00 (10.6700)","90.00 (6.7100)","80.00 (8.9400)","95.00 (4.8700)","60.00 (10.9500)","80.00 (8.9400)","75.00 (9.6800)","75.00 (9.6800)","80.00 (8.9400)","60.00 (10.9500)"
"24","Trd","70.00 (10.2500)","75.00 (9.6800)","90.00 (6.7100)","80.00 (8.9400)","65.00 (10.6700)","85.00 (7.9800)","60.00 (10.9500)","85.00 (7.9800)","80.00 (8.9400)","75.00 (9.6800)","65.00 (10.6700)","80.00 (8.9400)","95.00 (4.8700)","80.00 (8.9400)","60.00 (10.9500)"
"28","CITS","90.00 (6.7100)","95.00 (4.8700)","100.00 (0.0000)","80.00 (8.9400)","80.00 (8.9400)","100.00 (0.0000)","95.00 (4.8700)","90.00 (6.7100)","95.00 (4.8700)","65.00 (10.6700)","85.00 (7.9800)","95.00 (4.8700)","80.00 (8.9400)","85.00 (7.9800)","55.00 (11.1200)"
"28","CITS(rho = 0.4)","70.00 (10.2500)","80.00 (8.9400)","75.00 (9.6800)","75.00 (9.6800)","50.00 (11.1800)","75.00 (9.6800)","95.00 (4.8700)","95.00 (4.8700)","85.00 (7.9800)","70.00 (10.2500)","90.00 (6.7100)","75.00 (9.6800)","80.00 (8.9400)","90.00 (6.7100)","60.00 (10.9500)"
"28","Trd","85.00 (7.9800)","80.00 (8.9400)","80.00 (8.9400)","65.00 (10.6700)","90.00 (6.7100)","85.00 (7.9800)","80.00 (8.9400)","95.00 (4.8700)","75.00 (9.6800)","80.00 (8.9400)","85.00 (7.9800)","90.00 (6.7100)","70.00 (10.2500)","75.00 (9.6800)","65.00 (10.6700)"
"32","CITS","85.00 (7.9800)","85.00 (7.9800)","85.00 (7.9800)","70.00 (10.2500)","50.00 (11.1800)","95.00 (4.8700)","95.00 (4.8700)","85.00 (7.9800)","75.00 (9.6800)","60.00 (10.9500)","85.00 (7.9800)","95.00 (4.8700)","90.00 (6.7100)","75.00 (9.6800)","80.00 (8.9400)"
"32","CITS(rho = 0.4)","90.00 (6.7100)","85.00 (7.9800)","85.00 (7.9800)","80.00 (8.9400)","60.00 (10.9500)","75.00 (9.6800)","95.00 (4.8700)","90.00 (6.7100)","75.00 (9.6800)","65.00 (10.6700)","70.00 (10.2500)","85.00 (7.9800)","95.00 (4.8700)","75.00 (9.6800)","65.00 (10.6700)"
"32","Trd","85.00 (7.9800)","85.00 (7.9800)","70.00 (10.2500)","85.00 (7.9800)","80.00 (8.9400)","85.00 (7.9800)","75.00 (9.6800)","75.00 (9.6800)","75.00 (9.6800)","75.00 (9.6800)","80.00 (8.9400)","85.00 (7.9800)","70.00 (10.2500)","60.00 (10.9500)","75.00 (9.6800)"
"36","CITS","95.00 (4.8700)","90.00 (6.7100)","75.00 (9.6800)","80.00 (8.9400)","75.00 (9.6800)","95.00 (4.8700)","90.00 (6.7100)","85.00 (7.9800)","75.00 (9.6800)","60.00 (10.9500)","95.00 (4.8700)","75.00 (9.6800)","85.00 (7.9800)","75.00 (9.6800)","55.00 (11.1200)"
"36","CITS(rho = 0.4)","95.00 (4.8700)","85.00 (7.9800)","75.00 (9.6800)","75.00 (9.6800)","60.00 (10.9500)","95.00 (4.8700)","80.00 (8.9400)","95.00 (4.8700)","75.00 (9.6800)","50.00 (11.1800)","85.00 (7.9800)","75.00 (9.6800)","85.00 (7.9800)","80.00 (8.9400)","55.00 (11.1200)"
"36","Trd","85.00 (7.9800)","75.00 (9.6800)","85.00 (7.9800)","80.00 (8.9400)","70.00 (10.2500)","80.00 (8.9400)","90.00 (6.7100)","75.00 (9.6800)","60.00 (10.9500)","80.00 (8.9400)","70.00 (10.2500)","80.00 (8.9400)","80.00 (8.9400)","90.00 (6.7100)","75.00 (9.6800)"
"40","CITS","90.00 (6.7100)","80.00 (8.9400)","75.00 (9.6800)","75.00 (9.6800)","65.00 (10.6700)","90.00 (6.7100)","85.00 (7.9800)","100.00 (0.0000)","85.00 (7.9800)","50.00 (11.1800)","95.00 (4.8700)","100.00 (0.0000)","75.00 (9.6800)","70.00 (10.2500)","40.00 (10.9500)"
"40","CITS(rho = 0.4)","95.00 (4.8700)","85.00 (7.9800)","80.00 (8.9400)","85.00 (7.9800)","65.00 (10.6700)","85.00 (7.9800)","90.00 (6.7100)","85.00 (7.9800)","85.00 (7.9800)","55.00 (11.1200)","85.00 (7.9800)","100.00 (0.0000)","80.00 (8.9400)","55.00 (11.1200)","65.00 (10.6700)"
"40","Trd","90.00 (6.7100)","95.00 (4.8700)","85.00 (7.9800)","70.00 (10.2500)","80.00 (8.9400)","100.00 (0.0000)","75.00 (9.6800)","85.00 (7.9800)","70.00 (10.2500)","70.00 (10.2500)","95.00 (4.8700)","90.00 (6.7100)","85.00 (7.9800)","85.00 (7.9800)","85.00 (7.9800)"
"44","CITS","95.00 (4.8700)","95.00 (4.8700)","75.00 (9.6800)","80.00 (8.9400)","55.00 (11.1200)","95.00 (4.8700)","85.00 (7.9800)","100.00 (0.0000)","75.00 (9.6800)","65.00 (10.6700)","90.00 (6.7100)","85.00 (7.9800)","95.00 (4.8700)","70.00 (10.2500)","65.00 (10.6700)"
"44","CITS(rho = 0.4)","95.00 (4.8700)","90.00 (6.7100)","75.00 (9.6800)","85.00 (7.9800)","60.00 (10.9500)","90.00 (6.7100)","85.00 (7.9800)","95.00 (4.8700)","90.00 (6.7100)","80.00 (8.9400)","85.00 (7.9800)","85.00 (7.9800)","100.00 (0.0000)","95.00 (4.8700)","70.00 (10.2500)"
