"rho","n","EstimandScenario","j","Method","estimate","se","pvalue","converged","true_B"
"0",12,"Small",15,"Trd",-0.600268452612775,0.320956848866373,0.0614495824236207,TRUE,-0.0408
"0",12,"Small",15,"CITS",0.00498877333761457,0.11566295897089,0.965596320424782,TRUE,-0.0408
"0",12,"Small",15,"CITS_0.4_constant",0.0187076870832537,0.106479615236316,0.860535400259184,TRUE,-0.0408
"0",12,"Small",15,"CITS_spill_3pct",0.123227484450805,0.0981019435392573,0.209073681143746,TRUE,-0.0408
"0",12,"Small",16,"Trd",-0.633415303095433,0.222128374376096,0.00435034785133374,TRUE,-0.0408
"0",12,"Small",16,"CITS",-0.0515523673124038,0.129046843006254,0.689535364667672,TRUE,-0.0408
"0",12,"Small",16,"CITS_0.4_constant",0.00237753277854198,0.104937779078351,0.981924198976257,TRUE,-0.0408
"0",12,"Small",16,"CITS_spill_3pct",-0.0416482567308027,0.143846429011956,0.77217369741303,TRUE,-0.0408
"0",12,"Small",17,"Trd",0.844682463389234,0.200656927363174,2.55839775005108e-05,TRUE,-0.0408
"0",12,"Small",17,"CITS",-0.324766684848186,0.115314005563656,0.00485699846598971,TRUE,-0.0408
"0",12,"Small",17,"CITS_0.4_constant",-0.426654027341371,0.198297785450969,0.0314302586651286,TRUE,-0.0408
"0",12,"Small",17,"CITS_spill_3pct",-0.263636344956678,0.151221091984176,0.0812666619762046,TRUE,-0.0408
"0",12,"Small",18,"Trd",0.252424594160772,0.330513867923001,0.445025926854921,TRUE,-0.0408
"0",12,"Small",18,"CITS",0.0582666982684604,0.137337865884265,0.67137761301572,TRUE,-0.0408
"0",12,"Small",18,"CITS_0.4_constant",-0.115113643999949,0.117569676331475,0.32752563866847,TRUE,-0.0408
"0",12,"Small",18,"CITS_spill_3pct",0.0785978658291461,0.115822767803091,0.497388412032265,TRUE,-0.0408
"0",12,"Small",19,"Trd",0.154731153318342,0.265742286876702,0.560391439077778,TRUE,-0.0408
"0",12,"Small",19,"CITS",-0.174575019633195,0.165600991241387,0.291795631525398,TRUE,-0.0408
"0",12,"Small",19,"CITS_0.4_constant",-0.208971589201605,0.19740902425965,0.28979492070541,TRUE,-0.0408
"0",12,"Small",19,"CITS_spill_3pct",-0.0455422545530218,0.17946746393402,0.799678433619268,TRUE,-0.0408
"0",12,"Small",20,"Trd",-0.396107004012035,0.271545226123142,0.144643657609972,TRUE,-0.0408
"0",12,"Small",20,"CITS",-0.0937133919814075,0.140977358569046,0.506216339075043,TRUE,-0.0408
"0",12,"Small",20,"CITS_0.4_constant",-0.00913603763213798,0.160520256046433,0.954612770133917,TRUE,-0.0408
"0",12,"Small",20,"CITS_spill_3pct",0.0025732100423707,0.14338489740726,0.985681794942617,TRUE,-0.0408
"0",12,"Moderate",1,"Trd",-0.105972628009676,0.331794774715559,0.749429204904006,TRUE,-0.3567
"0",12,"Moderate",1,"CITS",-0.598908191821358,0.120257180243668,6.35093638302881e-07,TRUE,-0.3567
"0",12,"Moderate",1,"CITS_0.4_constant",-0.411322920351292,0.0812281560686557,4.10986557984023e-07,TRUE,-0.3567
"0",12,"Moderate",1,"CITS_spill_3pct",-0.425833029726293,0.101239243734602,2.5969449738519e-05,TRUE,-0.3567
"0",12,"Moderate",2,"Trd",-0.0283098364141513,0.231894103192875,0.902834963371085,TRUE,-0.3567
"0",12,"Moderate",2,"CITS",-0.54880617934056,0.118348246674876,3.53136266606935e-06,TRUE,-0.3567
"0",12,"Moderate",2,"CITS_0.4_constant",-0.803495556289344,0.128753603875082,4.35986192494851e-10,TRUE,-0.3567
"0",12,"Moderate",2,"CITS_spill_3pct",-0.379612747967319,0.12091865841049,0.001692907839611,TRUE,-0.3567
"0",12,"Moderate",3,"Trd",-0.741255066392563,0.114884646232917,1.10261067331558e-10,TRUE,-0.3567
"0",12,"Moderate",3,"CITS",-0.266181820372404,0.101214541752477,0.00854157041938589,TRUE,-0.3567
"0",12,"Moderate",3,"CITS_0.4_constant",-0.453982610511269,0.144422715127759,0.00166980683527112,TRUE,-0.3567
"0",12,"Moderate",3,"CITS_spill_3pct",-0.174012246230448,0.109421194795125,0.111767774865174,TRUE,-0.3567
"0",12,"Moderate",4,"Trd",-0.490770773186863,0.125233417976852,8.89730707414566e-05,TRUE,-0.3567
"0",12,"Moderate",4,"CITS",-0.480936910454506,0.150531195612104,0.00139863865630462,TRUE,-0.3567
"0",12,"Moderate",4,"CITS_0.4_constant",-0.484466107218387,0.142104631504579,0.000651486566629002,TRUE,-0.3567
"0",12,"Moderate",4,"CITS_spill_3pct",-0.481744958774772,0.180745836908387,0.00769157723056658,TRUE,-0.3567
"0",12,"Moderate",5,"Trd",-0.754825772324454,0.367325033953268,0.0398861502201189,TRUE,-0.3567
"0",12,"Moderate",5,"CITS",-0.437222032687632,0.0865981802450178,4.44455781363711e-07,TRUE,-0.3567
"0",12,"Moderate",5,"CITS_0.4_constant",-0.761719849616466,0.150830589521463,4.41421169420938e-07,TRUE,-0.3567
"0",12,"Moderate",5,"CITS_spill_3pct",-0.32763597435749,0.0869721153659581,0.000165129628136232,TRUE,-0.3567
"0",12,"Moderate",6,"Trd",-0.876796135646669,0.257451928782368,0.000660020707565172,TRUE,-0.3567
"0",12,"Moderate",6,"CITS",-0.400644475197462,0.188942395485745,0.0339674126204971,TRUE,-0.3567
"0",12,"Moderate",6,"CITS_0.4_constant",-0.450396227010613,0.192086045810375,0.0190391844439358,TRUE,-0.3567
"0",12,"Moderate",6,"CITS_spill_3pct",-0.36947307829528,0.18506574733297,0.0458858050826919,TRUE,-0.3567
"0",12,"Moderate",7,"Trd",-0.437228498734301,0.383596543356059,0.254364029848129,TRUE,-0.3567
"0",12,"Moderate",7,"CITS",-0.29106051774955,0.126088495794489,0.0209778535650563,TRUE,-0.3567
"0",12,"Moderate",7,"CITS_0.4_constant",-0.353743461475849,0.0706600394751713,5.54939804218465e-07,TRUE,-0.3567
"0",12,"Moderate",7,"CITS_spill_3pct",-0.215093162800502,0.0937450860487989,0.0217648169028843,TRUE,-0.3567
"0",12,"Moderate",8,"Trd",0.212801105373679,0.272371860241941,0.434632609421865,TRUE,-0.3567
"0",12,"Moderate",8,"CITS",-0.629621780379879,0.144694043812151,1.35270510300402e-05,TRUE,-0.3567
"0",12,"Moderate",8,"CITS_0.4_constant",-0.653122881263136,0.191427275383475,0.000645214672289424,TRUE,-0.3567
"0",12,"Moderate",8,"CITS_spill_3pct",-0.540674999731014,0.117783111057811,4.42336069256558e-06,TRUE,-0.3567
"0",12,"Moderate",9,"Trd",0.555227442589278,0.312325341641616,0.0754496237038699,TRUE,-0.3567
"0",12,"Moderate",9,"CITS",-0.345871617853056,0.117151758445307,0.00315377248118533,TRUE,-0.3567
"0",12,"Moderate",9,"CITS_0.4_constant",-0.692070636376874,0.210035243779389,0.000984141626411299,TRUE,-0.3567
"0",12,"Moderate",9,"CITS_spill_3pct",-0.327216900452843,0.120135141794781,0.00645472834310163,TRUE,-0.3567
"0",12,"Moderate",10,"Trd",-0.675239964561677,0.384922949444249,0.0793926269708433,TRUE,-0.3567
"0",12,"Moderate",10,"CITS",-0.253084278717362,0.104598591758295,0.0155385984195418,TRUE,-0.3567
"0",12,"Moderate",10,"CITS_0.4_constant",-0.363965055091208,0.105965314826803,0.000593086465349627,TRUE,-0.3567
"0",12,"Moderate",10,"CITS_spill_3pct",-0.137349892306387,0.0954831499037357,0.150300014074863,TRUE,-0.3567
"0",12,"Moderate",11,"Trd",-0.564513728931935,0.293659744098492,0.0545630514141299,TRUE,-0.3567
"0",12,"Moderate",11,"CITS",-0.509164842654052,0.0964332119334276,1.29202285659481e-07,TRUE,-0.3567
"0",12,"Moderate",11,"CITS_0.4_constant",-0.652827917018758,0.157451407687279,3.3801149565272e-05,TRUE,-0.3567
"0",12,"Moderate",11,"CITS_spill_3pct",-0.382921335565168,0.0764010129071758,5.38691873185455e-07,TRUE,-0.3567
"0",12,"Moderate",12,"Trd",-0.682188969701518,0.235439243739765,0.00376130582931583,TRUE,-0.3567
"0",12,"Moderate",12,"CITS",-0.415554931168253,0.114830637882014,0.000295914318887352,TRUE,-0.3567
"0",12,"Moderate",12,"CITS_0.4_constant",-0.490786282266955,0.154972434836537,0.00154059348208398,TRUE,-0.3567
"0",12,"Moderate",12,"CITS_spill_3pct",-0.38279217284043,0.115494519603171,0.000918481666989977,TRUE,-0.3567
"0",12,"Moderate",13,"Trd",-0.673285918545596,0.438740965288297,0.12488545535793,TRUE,-0.3567
"0",12,"Moderate",13,"CITS",-0.512658085522118,0.172331749121759,0.00293148581976076,TRUE,-0.3567
"0",12,"Moderate",13,"CITS_0.4_constant",-0.448549919560523,0.248247109913217,0.0707827621484694,TRUE,-0.3567
"0",12,"Moderate",13,"CITS_spill_3pct",-0.375281245261522,0.134854020933205,0.00538803460405666,TRUE,-0.3567
"0",12,"Moderate",14,"Trd",-0.40050523895589,0.330411959030745,0.225459156924207,TRUE,-0.3567
"0",12,"Moderate",14,"CITS",-0.327023105409514,0.143609332166152,0.0227759750804551,TRUE,-0.3567
"0",12,"Moderate",14,"CITS_0.4_constant",-0.394821893254112,0.10431239742393,0.000153711724780633,TRUE,-0.3567
"0",12,"Moderate",14,"CITS_spill_3pct",-0.206616607891042,0.121765450120669,0.0897267253767468,TRUE,-0.3567
"0",12,"Moderate",15,"Trd",-0.796098569889952,0.311882378906419,0.010693440614979,TRUE,-0.3567
"0",12,"Moderate",15,"CITS",-0.495225698676345,0.10435642810249,2.07969570267473e-06,TRUE,-0.3567
"0",12,"Moderate",15,"CITS_0.4_constant",-0.338717569649361,0.16446693080682,0.0394475720239605,TRUE,-0.3567
"0",12,"Moderate",15,"CITS_spill_3pct",-0.30277585759237,0.095271258116584,0.0014827435529543,TRUE,-0.3567
"0",12,"Moderate",16,"Trd",-0.726904488012141,0.396917045222771,0.0670443893553934,TRUE,-0.3567
"0",12,"Moderate",16,"CITS",-0.260524367885832,0.113262213880528,0.021437580047195,TRUE,-0.3567
"0",12,"Moderate",16,"CITS_0.4_constant",0.02171169261956,0.258412346172951,0.933040877060702,TRUE,-0.3567
"0",12,"Moderate",16,"CITS_spill_3pct",-0.124747585048165,0.114568014873414,0.276219260499487,TRUE,-0.3567
"0",12,"Moderate",17,"Trd",-0.355890897165113,0.152220688716952,0.0193876138333113,TRUE,-0.3567
"0",12,"Moderate",17,"CITS",-0.37525077734531,0.110795974544034,0.000706967034328688,TRUE,-0.3567
"0",12,"Moderate",17,"CITS_0.4_constant",-0.418775572140399,0.132026152267351,0.00151437958625789,TRUE,-0.3567
"0",12,"Moderate",17,"CITS_spill_3pct",-0.267367642727068,0.146523411431518,0.0680397454454398,TRUE,-0.3567
"0",12,"Moderate",18,"Trd",-0.655801046600206,0.164000028654394,6.36681676576208e-05,TRUE,-0.3567
"0",12,"Moderate",18,"CITS",-0.226119341877977,0.0709541374622484,0.00143837311958232,TRUE,-0.3567
"0",12,"Moderate",18,"CITS_0.4_constant",-0.148916856139255,0.136240455809605,0.274374341780981,TRUE,-0.3567
"0",12,"Moderate",18,"CITS_spill_3pct",-0.146506731907173,0.085169195137457,0.0853989041586776,TRUE,-0.3567
"0",12,"Moderate",19,"Trd",-0.298085875705516,0.301250571255108,0.322421109615287,TRUE,-0.3567
"0",12,"Moderate",19,"CITS",-0.411275452878358,0.113502891886672,0.000290665746598457,TRUE,-0.3567
"0",12,"Moderate",19,"CITS_0.4_constant",-0.302473707948189,0.167024811773444,0.0701484758628564,TRUE,-0.3567
"0",12,"Moderate",19,"CITS_spill_3pct",-0.356360325933801,0.107782232316396,0.0009453702719778,TRUE,-0.3567
"0",12,"Moderate",20,"Trd",-0.350795651091741,0.211216788133398,0.0967471444069488,TRUE,-0.3567
"0",12,"Moderate",20,"CITS",-0.608387334798631,0.117619442232227,2.3097440605648e-07,TRUE,-0.3567
