"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"20","Trd","-0.0043 (0.3104)","-0.0007 (0.3529)","0.0202 (0.4165)","-0.0160 (0.4409)","0.0258 (0.5488)","-0.2826 (0.3224)","-0.3422 (0.3079)","-0.3644 (0.3993)","-0.3867 (0.4402)","-0.3409 (0.5485)","-0.5293 (0.2889)","-0.4990 (0.3339)","-0.4783 (0.3947)","-0.6240 (0.4878)","-0.5064 (0.5062)"
"20","CITS","-0.0405 (0.0882)","-0.0365 (0.1080)","-0.0212 (0.1396)","-0.0291 (0.2234)","-0.0350 (0.2506)","-0.3668 (0.1045)","-0.3735 (0.1286)","-0.3643 (0.1471)","-0.3664 (0.2132)","-0.3862 (0.2832)","-0.5160 (0.1063)","-0.5040 (0.1124)","-0.5120 (0.1473)","-0.5383 (0.1807)","-0.4861 (0.2727)"
"20","CITS_0.4_constant","0.0221 (0.1642)","0.0290 (0.1803)","0.0182 (0.2247)","0.0200 (0.3324)","0.1367 (0.4808)","-0.2977 (0.1461)","-0.3044 (0.1839)","-0.2997 (0.2475)","-0.3285 (0.3197)","-0.3073 (0.4419)","-0.4649 (0.1472)","-0.4438 (0.1975)","-0.4612 (0.2466)","-0.5274 (0.3458)","-0.4409 (0.4861)"
"24","Trd","-0.0701 (0.2672)","0.0136 (0.3147)","-0.0361 (0.3456)","-0.0279 (0.4195)","-0.1015 (0.5058)","-0.3000 (0.2470)","-0.3490 (0.3078)","-0.3645 (0.3382)","-0.3340 (0.4286)","-0.3634 (0.5917)","-0.4878 (0.3011)","-0.5344 (0.2891)","-0.4718 (0.4016)","-0.5327 (0.4666)","-0.5973 (0.6044)"
"24","CITS","-0.0489 (0.0796)","-0.0472 (0.1012)","-0.0463 (0.1254)","-0.0583 (0.1766)","-0.0503 (0.2910)","-0.3518 (0.0891)","-0.3541 (0.1183)","-0.3632 (0.1136)","-0.3640 (0.1884)","-0.3584 (0.3164)","-0.5077 (0.0908)","-0.5247 (0.1052)","-0.5274 (0.1252)","-0.4997 (0.1847)","-0.5043 (0.2933)"
"24","CITS_0.4_constant","-0.0977 (0.1555)","-0.0522 (0.1585)","-0.0821 (0.2035)","-0.0400 (0.3259)","-0.1586 (0.4810)","-0.3859 (0.1296)","-0.4105 (0.1812)","-0.4258 (0.2171)","-0.4065 (0.2948)","-0.3802 (0.4956)","-0.5665 (0.1548)","-0.5760 (0.1740)","-0.5652 (0.2277)","-0.5824 (0.3278)","-0.5922 (0.5108)"
"28","Trd","-0.0287 (0.2588)","-0.0762 (0.3309)","-0.0515 (0.3227)","-0.0590 (0.4420)","-0.0309 (0.6121)","-0.3214 (0.2669)","-0.3147 (0.2988)","-0.3442 (0.3527)","-0.3245 (0.4728)","-0.3341 (0.5231)","-0.5243 (0.2730)","-0.5261 (0.3246)","-0.4808 (0.3595)","-0.5007 (0.4643)","-0.4678 (0.6528)"
"28","CITS","-0.0367 (0.0768)","-0.0417 (0.1036)","-0.0590 (0.1241)","-0.0566 (0.1610)","-0.0444 (0.2678)","-0.3716 (0.0926)","-0.3695 (0.0965)","-0.3876 (0.1185)","-0.3696 (0.1556)","-0.3422 (0.2703)","-0.5087 (0.0834)","-0.5140 (0.0986)","-0.4961 (0.1239)","-0.5275 (0.1738)","-0.5225 (0.2972)"
"28","CITS_0.4_constant","0.0403 (0.1333)","0.0494 (0.1719)","0.0404 (0.2047)","0.0382 (0.2863)","-0.0008 (0.4529)","-0.2854 (0.1189)","-0.3035 (0.1642)","-0.3158 (0.2181)","-0.3171 (0.2885)","-0.2583 (0.4440)","-0.4314 (0.1345)","-0.4268 (0.1670)","-0.4056 (0.1842)","-0.4473 (0.2582)","-0.4888 (0.5197)"
"32","Trd","-0.0721 (0.2742)","-0.0368 (0.3038)","-0.0863 (0.3283)","-0.0373 (0.4375)","-0.0202 (0.5848)","-0.3739 (0.2403)","-0.3360 (0.2801)","-0.3471 (0.3590)","-0.3064 (0.4265)","-0.3132 (0.5630)","-0.4810 (0.2585)","-0.5202 (0.3074)","-0.5160 (0.3433)","-0.4804 (0.4167)","-0.4639 (0.5494)"
