"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0",60,"Small","Controlled interrupted time series(CITS)","-0.0438 (0.0535)","-0.0030 (0.0006)","93.17 (0.2700)","15.06 (0.3800)","0.0535 (0.0519)","0.0029 (0.0000)",-0.0408
"0",60,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0441 (0.0831)","-0.0033 (0.0009)","89.12 (0.3300)","15.30 (0.3900)","0.0831 (0.0712)","0.0069 (0.0001)",-0.0408
"0",60,"Small","Multivariable negative binomial regression(Trd)","-0.0404 (0.2001)","0.0004 (0.0021)","89.42 (0.3300)","10.98 (0.3400)","0.2001 (0.1791)","0.0400 (0.0006)",-0.0408
"0",60,"Moderate","Controlled interrupted time series(CITS)","-0.3608 (0.0541)","-0.0041 (0.0006)","92.75 (0.2800)","100.00 (0.0000)","0.0541 (0.0520)","0.0029 (0.0000)",-0.3567
"0",60,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3633 (0.0846)","-0.0066 (0.0009)","88.62 (0.3400)","99.47 (0.0800)","0.0846 (0.0711)","0.0072 (0.0001)",-0.3567
"0",60,"Moderate","Multivariable negative binomial regression(Trd)","-0.3530 (0.2002)","0.0037 (0.0021)","89.35 (0.3300)","52.76 (0.5400)","0.2002 (0.1792)","0.0401 (0.0006)",-0.3567
"0",60,"Large","Controlled interrupted time series(CITS)","-0.5164 (0.0537)","-0.0056 (0.0006)","93.09 (0.2700)","100.00 (0.0000)","0.0537 (0.0523)","0.0029 (0.0000)",-0.5108
"0",60,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5207 (0.0846)","-0.0099 (0.0009)","88.46 (0.3400)","100.00 (0.0000)","0.0846 (0.0713)","0.0072 (0.0001)",-0.5108
"0",60,"Large","Multivariable negative binomial regression(Trd)","-0.5071 (0.1988)","0.0037 (0.0021)","89.89 (0.3200)","78.26 (0.4400)","0.1988 (0.1789)","0.0395 (0.0006)",-0.5108
"0",80,"Small","Controlled interrupted time series(CITS)","-0.0424 (0.0465)","-0.0016 (0.0005)","93.20 (0.2700)","17.60 (0.4100)","0.0465 (0.0449)","0.0022 (0.0000)",-0.0408
"0",80,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0442 (0.0734)","-0.0034 (0.0008)","89.24 (0.3300)","17.09 (0.4000)","0.0734 (0.0619)","0.0054 (0.0001)",-0.0408
"0",80,"Small","Multivariable negative binomial regression(Trd)","-0.0404 (0.1733)","0.0004 (0.0019)","90.72 (0.3100)","10.14 (0.3200)","0.1733 (0.1588)","0.0300 (0.0005)",-0.0408
"0",80,"Moderate","Controlled interrupted time series(CITS)","-0.3601 (0.0465)","-0.0034 (0.0005)","93.21 (0.2700)","100.00 (0.0000)","0.0465 (0.0451)","0.0022 (0.0000)",-0.3567
"0",80,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3619 (0.0731)","-0.0052 (0.0008)","89.03 (0.3400)","99.94 (0.0300)","0.0731 (0.0620)","0.0054 (0.0001)",-0.3567
"0",80,"Moderate","Multivariable negative binomial regression(Trd)","-0.3522 (0.1695)","0.0045 (0.0018)","91.40 (0.3000)","60.41 (0.5200)","0.1695 (0.1580)","0.0287 (0.0004)",-0.3567
"0",80,"Large","Controlled interrupted time series(CITS)","-0.5160 (0.0466)","-0.0052 (0.0005)","93.70 (0.2600)","100.00 (0.0000)","0.0466 (0.0454)","0.0022 (0.0000)",-0.5108
"0",80,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5189 (0.0726)","-0.0081 (0.0008)","89.46 (0.3300)","100.00 (0.0000)","0.0726 (0.0621)","0.0053 (0.0001)",-0.5108
"0",80,"Large","Multivariable negative binomial regression(Trd)","-0.5106 (0.1722)","0.0002 (0.0018)","91.13 (0.3100)","87.37 (0.3600)","0.1722 (0.1583)","0.0296 (0.0004)",-0.5108
"0",100,"Small","Controlled interrupted time series(CITS)","-0.0431 (0.0415)","-0.0023 (0.0004)","92.96 (0.2700)","21.74 (0.4400)","0.0415 (0.0398)","0.0017 (0.0000)",-0.0408
"0",100,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0441 (0.0655)","-0.0033 (0.0007)","89.97 (0.3200)","17.40 (0.4100)","0.0655 (0.0567)","0.0043 (0.0001)",-0.0408
"0",100,"Small","Multivariable negative binomial regression(Trd)","-0.0426 (0.1490)","-0.0018 (0.0016)","91.15 (0.3000)","9.92 (0.3200)","0.1490 (0.1386)","0.0222 (0.0003)",-0.0408
"0",100,"Moderate","Controlled interrupted time series(CITS)","-0.3602 (0.0410)","-0.0035 (0.0004)","93.55 (0.2600)","100.00 (0.0000)","0.0410 (0.0401)","0.0017 (0.0000)",-0.3567
"0",100,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3632 (0.0659)","-0.0065 (0.0007)","89.76 (0.3300)","99.99 (0.0100)","0.0659 (0.0570)","0.0044 (0.0001)",-0.3567
"0",100,"Moderate","Multivariable negative binomial regression(Trd)","-0.3544 (0.1497)","0.0023 (0.0016)","91.29 (0.3000)","72.40 (0.4800)","0.1497 (0.1386)","0.0224 (0.0003)",-0.3567
"0",100,"Large","Controlled interrupted time series(CITS)","-0.5154 (0.0417)","-0.0046 (0.0004)","93.24 (0.2700)","100.00 (0.0000)","0.0417 (0.0402)","0.0018 (0.0000)",-0.5108
"0",100,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5182 (0.0647)","-0.0074 (0.0007)","90.22 (0.3200)","100.00 (0.0000)","0.0647 (0.0570)","0.0042 (0.0001)",-0.5108
"0",100,"Large","Multivariable negative binomial regression(Trd)","-0.5126 (0.1518)","-0.0018 (0.0016)","90.71 (0.3100)","93.44 (0.2700)","0.1518 (0.1388)","0.0231 (0.0003)",-0.5108
"0",150,"Small","Controlled interrupted time series(CITS)","-0.0434 (0.0339)","-0.0026 (0.0004)","93.38 (0.2700)","27.65 (0.4800)","0.0339 (0.0328)","0.0012 (0.0000)",-0.0408
"0",150,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0455 (0.0531)","-0.0047 (0.0006)","90.80 (0.3100)","20.19 (0.4300)","0.0531 (0.0470)","0.0028 (0.0000)",-0.0408
"0",150,"Small","Multivariable negative binomial regression(Trd)","-0.0380 (0.1187)","0.0028 (0.0013)","92.53 (0.2800)","8.92 (0.3100)","0.1187 (0.1127)","0.0141 (0.0002)",-0.0408
"0",150,"Moderate","Controlled interrupted time series(CITS)","-0.3612 (0.0336)","-0.0045 (0.0004)","93.69 (0.2600)","100.00 (0.0000)","0.0336 (0.0330)","0.0011 (0.0000)",-0.3567
"0",150,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3640 (0.0532)","-0.0073 (0.0006)","90.87 (0.3100)","100.00 (0.0000)","0.0532 (0.0471)","0.0029 (0.0000)",-0.3567
"0",150,"Moderate","Multivariable negative binomial regression(Trd)","-0.3574 (0.1191)","-0.0007 (0.0013)","92.27 (0.2900)","87.14 (0.3600)","0.1191 (0.1127)","0.0142 (0.0002)",-0.3567
"0",150,"Large","Controlled interrupted time series(CITS)","-0.5150 (0.0341)","-0.0042 (0.0004)","93.67 (0.2600)","100.00 (0.0000)","0.0341 (0.0332)","0.0012 (0.0000)",-0.5108
"0",150,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5194 (0.0532)","-0.0086 (0.0006)","90.84 (0.3100)","100.00 (0.0000)","0.0532 (0.0474)","0.0029 (0.0000)",-0.5108
"0",150,"Large","Multivariable negative binomial regression(Trd)","-0.5097 (0.1189)","0.0011 (0.0013)","92.77 (0.2800)","99.04 (0.1000)","0.1189 (0.1137)","0.0141 (0.0002)",-0.5108
"0.2",12,"Small","Controlled interrupted time series(CITS)","-0.0492 (0.1602)","-0.0084 (0.0017)","84.54 (0.3900)","16.87 (0.4000)","0.1602 (0.1308)","0.0257 (0.0004)",-0.0408
"0.2",12,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0509 (0.1919)","-0.0101 (0.0021)","79.34 (0.4300)","21.95 (0.4400)","0.1919 (0.1378)","0.0369 (0.0006)",-0.0408
"0.2",12,"Small","Multivariable negative binomial regression(Trd)","-0.0322 (0.4205)","0.0086 (0.0045)","77.04 (0.4500)","23.08 (0.4500)","0.4205 (0.3023)","0.1769 (0.0027)",-0.0408
"0.2",12,"Moderate","Controlled interrupted time series(CITS)","-0.3656 (0.1597)","-0.0089 (0.0017)","84.55 (0.3900)","77.75 (0.4500)","0.1597 (0.1292)","0.0256 (0.0004)",-0.3567
"0.2",12,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3658 (0.1882)","-0.0091 (0.0020)","79.87 (0.4300)","72.82 (0.4800)","0.1882 (0.1368)","0.0355 (0.0005)",-0.3567
"0.2",12,"Moderate","Multivariable negative binomial regression(Trd)","-0.3474 (0.4192)","0.0093 (0.0045)","77.37 (0.4500)","35.70 (0.5100)","0.4192 (0.3051)","0.1758 (0.0026)",-0.3567
"0.2",12,"Large","Controlled interrupted time series(CITS)","-0.5248 (0.1634)","-0.0140 (0.0018)","84.27 (0.3900)","94.65 (0.2400)","0.1634 (0.1313)","0.0269 (0.0004)",-0.5108
"0.2",12,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5242 (0.1913)","-0.0134 (0.0021)","79.64 (0.4300)","90.60 (0.3100)","0.1913 (0.1390)","0.0368 (0.0006)",-0.5108
"0.2",12,"Large","Multivariable negative binomial regression(Trd)","-0.5011 (0.4212)","0.0097 (0.0045)","77.61 (0.4500)","45.95 (0.5300)","0.4212 (0.3080)","0.1775 (0.0027)",-0.5108
"0.2",14,"Small","Controlled interrupted time series(CITS)","-0.0465 (0.1470)","-0.0057 (0.0016)","84.93 (0.3800)","16.31 (0.4000)","0.1470 (0.1212)","0.0216 (0.0003)",-0.0408
"0.2",14,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0477 (0.1755)","-0.0069 (0.0019)","80.78 (0.4200)","20.78 (0.4400)","0.1755 (0.1289)","0.0308 (0.0005)",-0.0408
"0.2",14,"Small","Multivariable negative binomial regression(Trd)","-0.0336 (0.3927)","0.0072 (0.0042)","77.97 (0.4400)","22.12 (0.4500)","0.3927 (0.2814)","0.1542 (0.0024)",-0.0408
"0.2",14,"Moderate","Controlled interrupted time series(CITS)","-0.3670 (0.1474)","-0.0103 (0.0016)","85.61 (0.3800)","82.15 (0.4100)","0.1474 (0.1205)","0.0218 (0.0003)",-0.3567
"0.2",14,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3673 (0.1764)","-0.0106 (0.0019)","80.69 (0.4200)","76.57 (0.4500)","0.1764 (0.1288)","0.0312 (0.0005)",-0.3567
"0.2",14,"Moderate","Multivariable negative binomial regression(Trd)","-0.3488 (0.3963)","0.0079 (0.0043)","77.43 (0.4500)","36.95 (0.5200)","0.3963 (0.2825)","0.1571 (0.0024)",-0.3567
"0.2",14,"Large","Controlled interrupted time series(CITS)","-0.5247 (0.1469)","-0.0139 (0.0016)","85.75 (0.3800)","97.02 (0.1800)","0.1469 (0.1210)","0.0218 (0.0003)",-0.5108
"0.2",14,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5252 (0.1751)","-0.0144 (0.0019)","81.03 (0.4200)","93.91 (0.2600)","0.1751 (0.1291)","0.0309 (0.0005)",-0.5108
"0.2",14,"Large","Multivariable negative binomial regression(Trd)","-0.4939 (0.3933)","0.0169 (0.0042)","78.50 (0.4400)","47.66 (0.5400)","0.3933 (0.2860)","0.1550 (0.0024)",-0.5108
"0.2",16,"Small","Controlled interrupted time series(CITS)","-0.0483 (0.1362)","-0.0075 (0.0015)","84.08 (0.3900)","17.89 (0.4100)","0.1362 (0.1100)","0.0186 (0.0003)",-0.0408
"0.2",16,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0476 (0.1640)","-0.0068 (0.0018)","80.19 (0.4300)","21.60 (0.4400)","0.1640 (0.1202)","0.0269 (0.0004)",-0.0408
"0.2",16,"Small","Multivariable negative binomial regression(Trd)","-0.0278 (0.3753)","0.0130 (0.0040)","75.09 (0.4600)","25.16 (0.4700)","0.3753 (0.2490)","0.1410 (0.0021)",-0.0408
"0.2",16,"Moderate","Controlled interrupted time series(CITS)","-0.3667 (0.1369)","-0.0100 (0.0015)","83.89 (0.3900)","87.40 (0.3600)","0.1369 (0.1092)","0.0188 (0.0003)",-0.3567
"0.2",16,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3676 (0.1630)","-0.0109 (0.0017)","80.28 (0.4300)","80.49 (0.4300)","0.1630 (0.1202)","0.0267 (0.0004)",-0.3567
"0.2",16,"Moderate","Multivariable negative binomial regression(Trd)","-0.3491 (0.3771)","0.0076 (0.0040)","74.07 (0.4700)","42.97 (0.5300)","0.3771 (0.2456)","0.1423 (0.0022)",-0.3567
"0.2",16,"Large","Controlled interrupted time series(CITS)","-0.5178 (0.1354)","-0.0070 (0.0015)","84.22 (0.3900)","98.16 (0.1400)","0.1354 (0.1090)","0.0184 (0.0003)",-0.5108
"0.2",16,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5180 (0.1625)","-0.0072 (0.0017)","79.80 (0.4300)","95.28 (0.2300)","0.1625 (0.1192)","0.0265 (0.0004)",-0.5108
"0.2",16,"Large","Multivariable negative binomial regression(Trd)","-0.5041 (0.3726)","0.0067 (0.0040)","74.67 (0.4700)","55.54 (0.5300)","0.3726 (0.2472)","0.1388 (0.0021)",-0.5108
"0.2",18,"Small","Controlled interrupted time series(CITS)","-0.0472 (0.1267)","-0.0064 (0.0014)","85.27 (0.3800)","17.03 (0.4000)","0.1267 (0.1038)","0.0161 (0.0003)",-0.0408
"0.2",18,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0497 (0.1509)","-0.0089 (0.0016)","81.81 (0.4100)","19.81 (0.4300)","0.1509 (0.1143)","0.0229 (0.0004)",-0.0408
"0.2",18,"Small","Multivariable negative binomial regression(Trd)","-0.0306 (0.3525)","0.0102 (0.0038)","77.27 (0.4500)","23.05 (0.4500)","0.3525 (0.2434)","0.1243 (0.0019)",-0.0408
"0.2",18,"Moderate","Controlled interrupted time series(CITS)","-0.3641 (0.1278)","-0.0074 (0.0014)","84.77 (0.3900)","89.43 (0.3300)","0.1278 (0.1041)","0.0164 (0.0002)",-0.3567
"0.2",18,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3641 (0.1524)","-0.0074 (0.0016)","81.47 (0.4200)","82.75 (0.4100)","0.1524 (0.1147)","0.0233 (0.0003)",-0.3567
"0.2",18,"Moderate","Multivariable negative binomial regression(Trd)","-0.3462 (0.3583)","0.0105 (0.0038)","76.37 (0.4600)","41.21 (0.5300)","0.3583 (0.2447)","0.1285 (0.0019)",-0.3567
"0.2",18,"Large","Controlled interrupted time series(CITS)","-0.5221 (0.1255)","-0.0113 (0.0013)","85.29 (0.3800)","99.02 (0.1100)","0.1255 (0.1036)","0.0159 (0.0003)",-0.5108
"0.2",18,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5219 (0.1508)","-0.0111 (0.0016)","81.61 (0.4200)","97.17 (0.1800)","0.1508 (0.1147)","0.0228 (0.0003)",-0.5108
"0.2",18,"Large","Multivariable negative binomial regression(Trd)","-0.5017 (0.3588)","0.0091 (0.0038)","76.10 (0.4600)","55.92 (0.5300)","0.3588 (0.2433)","0.1288 (0.0019)",-0.5108
"0.2",20,"Small","Controlled interrupted time series(CITS)","-0.0475 (0.1180)","-0.0067 (0.0013)","86.10 (0.3700)","16.91 (0.4000)","0.1180 (0.0986)","0.0140 (0.0002)",-0.0408
"0.2",20,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0492 (0.1425)","-0.0084 (0.0015)","82.18 (0.4100)","19.84 (0.4300)","0.1425 (0.1091)","0.0204 (0.0003)",-0.0408
"0.2",20,"Small","Multivariable negative binomial regression(Trd)","-0.0329 (0.3378)","0.0079 (0.0036)","78.07 (0.4400)","22.04 (0.4400)","0.3378 (0.2383)","0.1142 (0.0017)",-0.0408
"0.2",20,"Moderate","Controlled interrupted time series(CITS)","-0.3650 (0.1179)","-0.0083 (0.0013)","86.43 (0.3700)","92.36 (0.2900)","0.1179 (0.0989)","0.0140 (0.0002)",-0.3567
"0.2",20,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3638 (0.1429)","-0.0071 (0.0015)","82.57 (0.4100)","85.31 (0.3800)","0.1429 (0.1095)","0.0205 (0.0003)",-0.3567
"0.2",20,"Moderate","Multivariable negative binomial regression(Trd)","-0.3457 (0.3484)","0.0110 (0.0037)","76.68 (0.4500)","41.67 (0.5300)","0.3484 (0.2378)","0.1215 (0.0018)",-0.3567
"0.2",20,"Large","Controlled interrupted time series(CITS)","-0.5190 (0.1184)","-0.0082 (0.0013)","86.37 (0.3700)","99.46 (0.0800)","0.1184 (0.0992)","0.0141 (0.0002)",-0.5108
"0.2",20,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5199 (0.1443)","-0.0091 (0.0015)","82.11 (0.4100)","97.95 (0.1500)","0.1443 (0.1101)","0.0209 (0.0003)",-0.5108
"0.2",20,"Large","Multivariable negative binomial regression(Trd)","-0.5047 (0.3425)","0.0061 (0.0037)","77.37 (0.4500)","56.95 (0.5300)","0.3425 (0.2387)","0.1173 (0.0018)",-0.5108
"0.2",24,"Small","Controlled interrupted time series(CITS)","-0.0475 (0.1077)","-0.0067 (0.0012)","86.83 (0.3600)","16.49 (0.4000)","0.1077 (0.0907)","0.0116 (0.0002)",-0.0408
"0.2",24,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0480 (0.1287)","-0.0072 (0.0014)","84.30 (0.3900)","18.09 (0.4100)","0.1287 (0.1016)","0.0166 (0.0003)",-0.0408
"0.2",24,"Small","Multivariable negative binomial regression(Trd)","-0.0234 (0.3157)","0.0174 (0.0034)","79.50 (0.4300)","20.41 (0.4300)","0.3157 (0.2309)","0.1000 (0.0015)",-0.0408
"0.2",24,"Moderate","Controlled interrupted time series(CITS)","-0.3624 (0.1065)","-0.0057 (0.0011)","87.38 (0.3600)","95.72 (0.2200)","0.1065 (0.0911)","0.0114 (0.0002)",-0.3567
"0.2",24,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3625 (0.1293)","-0.0058 (0.0014)","84.00 (0.3900)","89.59 (0.3300)","0.1293 (0.1017)","0.0167 (0.0003)",-0.3567
"0.2",24,"Moderate","Multivariable negative binomial regression(Trd)","-0.3471 (0.3139)","0.0096 (0.0034)","80.15 (0.4300)","42.03 (0.5300)","0.3139 (0.2293)","0.0986 (0.0016)",-0.3567
"0.2",24,"Large","Controlled interrupted time series(CITS)","-0.5167 (0.1051)","-0.0059 (0.0011)","87.71 (0.3500)","99.87 (0.0400)","0.1051 (0.0908)","0.0111 (0.0002)",-0.5108
"0.2",24,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5180 (0.1283)","-0.0072 (0.0014)","84.56 (0.3900)","99.10 (0.1000)","0.1283 (0.1018)","0.0165 (0.0003)",-0.5108
"0.2",24,"Large","Multivariable negative binomial regression(Trd)","-0.4995 (0.3196)","0.0113 (0.0034)","79.06 (0.4400)","58.76 (0.5300)","0.3196 (0.2280)","0.1022 (0.0016)",-0.5108
"0.2",28,"Small","Controlled interrupted time series(CITS)","-0.0453 (0.0966)","-0.0045 (0.0010)","88.40 (0.3400)","14.71 (0.3800)","0.0966 (0.0838)","0.0093 (0.0001)",-0.0408
"0.2",28,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0467 (0.1187)","-0.0059 (0.0013)","84.66 (0.3900)","17.44 (0.4100)","0.1187 (0.0944)","0.0141 (0.0002)",-0.0408
"0.2",28,"Small","Multivariable negative binomial regression(Trd)","-0.0274 (0.3056)","0.0134 (0.0033)","81.76 (0.4100)","18.43 (0.4200)","0.3056 (0.2306)","0.0935 (0.0014)",-0.0408
"0.2",28,"Moderate","Controlled interrupted time series(CITS)","-0.3622 (0.0971)","-0.0055 (0.0010)","88.39 (0.3400)","97.61 (0.1600)","0.0971 (0.0838)","0.0095 (0.0001)",-0.3567
"0.2",28,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3626 (0.1191)","-0.0059 (0.0013)","84.83 (0.3800)","92.78 (0.2800)","0.1191 (0.0943)","0.0142 (0.0002)",-0.3567
"0.2",28,"Moderate","Multivariable negative binomial regression(Trd)","-0.3490 (0.3003)","0.0077 (0.0032)","81.40 (0.4200)","40.99 (0.5300)","0.3003 (0.2294)","0.0902 (0.0014)",-0.3567
"0.2",28,"Large","Controlled interrupted time series(CITS)","-0.5180 (0.0982)","-0.0072 (0.0011)","88.18 (0.3500)","100.00 (0.0000)","0.0982 (0.0845)","0.0097 (0.0002)",-0.5108
"0.2",28,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5204 (0.1190)","-0.0096 (0.0013)","85.07 (0.3800)","99.65 (0.0600)","0.1190 (0.0952)","0.0142 (0.0002)",-0.5108
"0.2",28,"Large","Multivariable negative binomial regression(Trd)","-0.4961 (0.3053)","0.0147 (0.0033)","81.05 (0.4200)","59.15 (0.5300)","0.3053 (0.2279)","0.0934 (0.0014)",-0.5108
"0.2",32,"Small","Controlled interrupted time series(CITS)","-0.0474 (0.0897)","-0.0066 (0.0010)","89.71 (0.3300)","14.64 (0.3800)","0.0897 (0.0791)","0.0081 (0.0001)",-0.0408
"0.2",32,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0470 (0.1099)","-0.0062 (0.0012)","86.66 (0.3600)","16.63 (0.4000)","0.1099 (0.0895)","0.0121 (0.0002)",-0.0408
"0.2",32,"Small","Multivariable negative binomial regression(Trd)","-0.0340 (0.2939)","0.0068 (0.0032)","81.71 (0.4100)","18.14 (0.4100)","0.2939 (0.2240)","0.0864 (0.0013)",-0.0408
"0.2",32,"Moderate","Controlled interrupted time series(CITS)","-0.3629 (0.0906)","-0.0062 (0.0010)","88.75 (0.3400)","98.52 (0.1300)","0.0906 (0.0794)","0.0083 (0.0001)",-0.3567
"0.2",32,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3651 (0.1096)","-0.0084 (0.0012)","86.49 (0.3700)","95.38 (0.2300)","0.1096 (0.0897)","0.0121 (0.0002)",-0.3567
"0.2",32,"Moderate","Multivariable negative binomial regression(Trd)","-0.3443 (0.2924)","0.0124 (0.0031)","81.69 (0.4100)","41.06 (0.5300)","0.2924 (0.2224)","0.0856 (0.0013)",-0.3567
"0.2",32,"Large","Controlled interrupted time series(CITS)","-0.5172 (0.0898)","-0.0064 (0.0010)","89.48 (0.3300)","100.00 (0.0000)","0.0898 (0.0791)","0.0081 (0.0001)",-0.5108
"0.2",32,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5178 (0.1111)","-0.0070 (0.0012)","85.91 (0.3700)","99.86 (0.0400)","0.1111 (0.0895)","0.0124 (0.0002)",-0.5108
"0.2",32,"Large","Multivariable negative binomial regression(Trd)","-0.5015 (0.2909)","0.0093 (0.0031)","82.37 (0.4100)","60.78 (0.5200)","0.2909 (0.2214)","0.0847 (0.0013)",-0.5108
"0.2",36,"Small","Controlled interrupted time series(CITS)","-0.0455 (0.0841)","-0.0047 (0.0009)","89.53 (0.3300)","14.73 (0.3800)","0.0841 (0.0744)","0.0071 (0.0001)",-0.0408
"0.2",36,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0455 (0.1028)","-0.0047 (0.0011)","86.57 (0.3700)","16.26 (0.4000)","0.1028 (0.0844)","0.0106 (0.0002)",-0.0408
"0.2",36,"Small","Multivariable negative binomial regression(Trd)","-0.0298 (0.2841)","0.0110 (0.0030)","83.56 (0.4000)","16.48 (0.4000)","0.2841 (0.2241)","0.0809 (0.0012)",-0.0408
"0.2",36,"Moderate","Controlled interrupted time series(CITS)","-0.3633 (0.0837)","-0.0066 (0.0009)","89.95 (0.3200)","99.30 (0.0900)","0.0837 (0.0746)","0.0071 (0.0001)",-0.3567
"0.2",36,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3648 (0.1018)","-0.0081 (0.0011)","87.36 (0.3600)","97.54 (0.1700)","0.1018 (0.0845)","0.0104 (0.0002)",-0.3567
"0.2",36,"Moderate","Multivariable negative binomial regression(Trd)","-0.3502 (0.2864)","0.0065 (0.0031)","83.66 (0.4000)","41.86 (0.5300)","0.2864 (0.2226)","0.0820 (0.0013)",-0.3567
"0.2",36,"Large","Controlled interrupted time series(CITS)","-0.5184 (0.0856)","-0.0076 (0.0009)","89.19 (0.3300)","100.00 (0.0000)","0.0856 (0.0747)","0.0074 (0.0001)",-0.5108
"0.2",36,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5196 (0.1047)","-0.0088 (0.0011)","86.05 (0.3700)","99.94 (0.0300)","0.1047 (0.0845)","0.0110 (0.0002)",-0.5108
"0.2",36,"Large","Multivariable negative binomial regression(Trd)","-0.5025 (0.2838)","0.0083 (0.0030)","83.60 (0.4000)","61.58 (0.5200)","0.2838 (0.2217)","0.0806 (0.0012)",-0.5108
"0.2",40,"Small","Controlled interrupted time series(CITS)","-0.0442 (0.0800)","-0.0034 (0.0009)","89.72 (0.3300)","15.14 (0.3800)","0.0800 (0.0706)","0.0064 (0.0001)",-0.0408
"0.2",40,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0441 (0.0977)","-0.0033 (0.0010)","87.55 (0.3500)","16.49 (0.4000)","0.0977 (0.0805)","0.0096 (0.0001)",-0.0408
"0.2",40,"Small","Multivariable negative binomial regression(Trd)","-0.0400 (0.2764)","0.0008 (0.0030)","85.13 (0.3800)","15.39 (0.3900)","0.2764 (0.2230)","0.0764 (0.0011)",-0.0408
"0.2",40,"Moderate","Controlled interrupted time series(CITS)","-0.3625 (0.0800)","-0.0058 (0.0009)","89.87 (0.3200)","99.64 (0.0600)","0.0800 (0.0708)","0.0064 (0.0001)",-0.3567
"0.2",40,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3636 (0.0985)","-0.0069 (0.0011)","87.06 (0.3600)","98.09 (0.1500)","0.0985 (0.0803)","0.0097 (0.0002)",-0.3567
"0.2",40,"Moderate","Multivariable negative binomial regression(Trd)","-0.3538 (0.2795)","0.0029 (0.0030)","84.31 (0.3900)","42.82 (0.5300)","0.2795 (0.2200)","0.0781 (0.0012)",-0.3567
"0.2",40,"Large","Controlled interrupted time series(CITS)","-0.5166 (0.0800)","-0.0058 (0.0009)","89.93 (0.3200)","100.00 (0.0000)","0.0800 (0.0708)","0.0064 (0.0001)",-0.5108
"0.2",40,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5181 (0.0982)","-0.0073 (0.0011)","87.01 (0.3600)","99.98 (0.0200)","0.0982 (0.0804)","0.0097 (0.0002)",-0.5108
"0.2",40,"Large","Multivariable negative binomial regression(Trd)","-0.5051 (0.2783)","0.0057 (0.0030)","84.39 (0.3900)","61.76 (0.5200)","0.2783 (0.2207)","0.0775 (0.0012)",-0.5108
"0.2",44,"Small","Controlled interrupted time series(CITS)","-0.0456 (0.0750)","-0.0048 (0.0008)","90.61 (0.3100)","15.09 (0.3800)","0.0750 (0.0674)","0.0057 (0.0001)",-0.0408
"0.2",44,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0467 (0.0930)","-0.0059 (0.0010)","87.64 (0.3500)","16.66 (0.4000)","0.0930 (0.0770)","0.0087 (0.0001)",-0.0408
