"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0",16,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5205 (0.1659)","-0.0097 (0.0018)","81.63 (0.4200)","94.88 (0.2400)","0.1659 (0.1252)","0.0276 (0.0004)",-0.5108
"0",16,"Large","Multivariable negative binomial regression(Trd)","-0.4999 (0.3406)","0.0109 (0.0037)","78.02 (0.4400)","56.70 (0.5300)","0.3406 (0.2420)","0.1161 (0.0018)",-0.5108
"0",18,"Small","Controlled interrupted time series(CITS)","-0.0465 (0.1066)","-0.0057 (0.0011)","88.59 (0.3400)","14.23 (0.3700)","0.1066 (0.0949)","0.0114 (0.0002)",-0.0408
"0",18,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0463 (0.1568)","-0.0055 (0.0017)","81.63 (0.4200)","20.37 (0.4300)","0.1568 (0.1190)","0.0246 (0.0004)",-0.0408
"0",18,"Small","Multivariable negative binomial regression(Trd)","-0.0358 (0.3192)","0.0050 (0.0034)","79.98 (0.4300)","20.43 (0.4300)","0.3192 (0.2370)","0.1019 (0.0016)",-0.0408
"0",18,"Moderate","Controlled interrupted time series(CITS)","-0.3660 (0.1061)","-0.0093 (0.0011)","88.39 (0.3400)","94.57 (0.2400)","0.1061 (0.0953)","0.0114 (0.0002)",-0.3567
"0",18,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3665 (0.1560)","-0.0098 (0.0017)","81.72 (0.4100)","80.84 (0.4200)","0.1560 (0.1186)","0.0244 (0.0004)",-0.3567
"0",18,"Moderate","Multivariable negative binomial regression(Trd)","-0.3443 (0.3235)","0.0124 (0.0035)","78.65 (0.4400)","41.47 (0.5300)","0.3235 (0.2345)","0.1048 (0.0016)",-0.3567
"0",18,"Large","Controlled interrupted time series(CITS)","-0.5188 (0.1074)","-0.0080 (0.0012)","88.34 (0.3400)","99.82 (0.0500)","0.1074 (0.0950)","0.0116 (0.0002)",-0.5108
"0",18,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5176 (0.1566)","-0.0068 (0.0017)","82.17 (0.4100)","95.71 (0.2200)","0.1566 (0.1194)","0.0246 (0.0004)",-0.5108
"0",18,"Large","Multivariable negative binomial regression(Trd)","-0.5004 (0.3228)","0.0104 (0.0035)","79.35 (0.4300)","57.55 (0.5300)","0.3228 (0.2336)","0.1043 (0.0016)",-0.5108
"0",20,"Small","Controlled interrupted time series(CITS)","-0.0461 (0.0986)","-0.0053 (0.0011)","89.46 (0.3300)","13.51 (0.3700)","0.0986 (0.0902)","0.0098 (0.0002)",-0.0408
"0",20,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0468 (0.1478)","-0.0060 (0.0016)","83.29 (0.4000)","18.65 (0.4200)","0.1478 (0.1155)","0.0219 (0.0003)",-0.0408
"0",20,"Small","Multivariable negative binomial regression(Trd)","-0.0347 (0.3061)","0.0061 (0.0033)","80.64 (0.4200)","19.74 (0.4300)","0.3061 (0.2292)","0.0937 (0.0014)",-0.0408
"0",20,"Moderate","Controlled interrupted time series(CITS)","-0.3637 (0.0983)","-0.0070 (0.0011)","89.48 (0.3300)","96.67 (0.1900)","0.0983 (0.0903)","0.0097 (0.0001)",-0.3567
"0",20,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3643 (0.1464)","-0.0076 (0.0016)","83.09 (0.4000)","83.32 (0.4000)","0.1464 (0.1143)","0.0215 (0.0003)",-0.3567
"0",20,"Moderate","Multivariable negative binomial regression(Trd)","-0.3481 (0.3015)","0.0086 (0.0032)","80.94 (0.4200)","42.61 (0.5300)","0.3015 (0.2265)","0.0910 (0.0014)",-0.3567
"0",20,"Large","Controlled interrupted time series(CITS)","-0.5169 (0.1000)","-0.0061 (0.0011)","89.83 (0.3200)","99.94 (0.0300)","0.1000 (0.0904)","0.0100 (0.0002)",-0.5108
"0",20,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5202 (0.1481)","-0.0094 (0.0016)","83.18 (0.4000)","97.24 (0.1800)","0.1481 (0.1146)","0.0220 (0.0003)",-0.5108
"0",20,"Large","Multivariable negative binomial regression(Trd)","-0.4974 (0.3064)","0.0134 (0.0033)","80.79 (0.4200)","59.32 (0.5300)","0.3064 (0.2286)","0.0941 (0.0014)",-0.5108
"0",24,"Small","Controlled interrupted time series(CITS)","-0.0459 (0.0887)","-0.0051 (0.0010)","90.53 (0.3100)","12.98 (0.3600)","0.0887 (0.0823)","0.0079 (0.0001)",-0.0408
"0",24,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0455 (0.1336)","-0.0047 (0.0014)","85.17 (0.3800)","16.77 (0.4000)","0.1336 (0.1067)","0.0179 (0.0003)",-0.0408
"0",24,"Small","Multivariable negative binomial regression(Trd)","-0.0310 (0.2774)","0.0098 (0.0030)","83.05 (0.4000)","17.15 (0.4000)","0.2774 (0.2185)","0.0770 (0.0012)",-0.0408
"0",24,"Moderate","Controlled interrupted time series(CITS)","-0.3638 (0.0891)","-0.0071 (0.0010)","90.29 (0.3200)","98.45 (0.1300)","0.0891 (0.0822)","0.0080 (0.0001)",-0.3567
"0",24,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3637 (0.1351)","-0.0070 (0.0014)","84.37 (0.3900)","86.72 (0.3600)","0.1351 (0.1072)","0.0183 (0.0003)",-0.3567
"0",24,"Moderate","Multivariable negative binomial regression(Trd)","-0.3467 (0.2787)","0.0100 (0.0030)","82.94 (0.4000)","43.11 (0.5300)","0.2787 (0.2175)","0.0778 (0.0012)",-0.3567
"0",24,"Large","Controlled interrupted time series(CITS)","-0.5166 (0.0905)","-0.0058 (0.0010)","90.02 (0.3200)","99.99 (0.0100)","0.0905 (0.0829)","0.0082 (0.0001)",-0.5108
"0",24,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5166 (0.1351)","-0.0058 (0.0014)","84.14 (0.3900)","98.54 (0.1300)","0.1351 (0.1073)","0.0183 (0.0003)",-0.5108
"0",24,"Large","Multivariable negative binomial regression(Trd)","-0.5043 (0.2801)","0.0065 (0.0030)","82.83 (0.4000)","63.05 (0.5200)","0.2801 (0.2159)","0.0785 (0.0012)",-0.5108
"0",28,"Small","Controlled interrupted time series(CITS)","-0.0453 (0.0810)","-0.0045 (0.0009)","91.16 (0.3000)","12.91 (0.3600)","0.0810 (0.0759)","0.0066 (0.0001)",-0.0408
"0",28,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0460 (0.1226)","-0.0052 (0.0013)","85.96 (0.3700)","15.93 (0.3900)","0.1226 (0.1002)","0.0150 (0.0002)",-0.0408
"0",28,"Small","Multivariable negative binomial regression(Trd)","-0.0343 (0.2699)","0.0065 (0.0029)","83.78 (0.4000)","16.40 (0.4000)","0.2699 (0.2169)","0.0729 (0.0011)",-0.0408
"0",28,"Moderate","Controlled interrupted time series(CITS)","-0.3630 (0.0820)","-0.0063 (0.0009)","91.24 (0.3000)","99.37 (0.0900)","0.0820 (0.0771)","0.0068 (0.0001)",-0.3567
"0",28,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3636 (0.1234)","-0.0069 (0.0013)","86.20 (0.3700)","91.30 (0.3000)","0.1234 (0.1009)","0.0153 (0.0002)",-0.3567
"0",28,"Moderate","Multivariable negative binomial regression(Trd)","-0.3437 (0.2716)","0.0130 (0.0029)","83.36 (0.4000)","41.98 (0.5300)","0.2716 (0.2164)","0.0739 (0.0012)",-0.3567
"0",28,"Large","Controlled interrupted time series(CITS)","-0.5179 (0.0826)","-0.0071 (0.0009)","90.98 (0.3100)","100.00 (0.0000)","0.0826 (0.0767)","0.0069 (0.0001)",-0.5108
"0",28,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5201 (0.1236)","-0.0093 (0.0013)","85.82 (0.3700)","99.32 (0.0900)","0.1236 (0.1005)","0.0154 (0.0002)",-0.5108
"0",28,"Large","Multivariable negative binomial regression(Trd)","-0.5006 (0.2756)","0.0102 (0.0030)","82.82 (0.4000)","63.08 (0.5200)","0.2756 (0.2158)","0.0761 (0.0012)",-0.5108
"0",32,"Small","Controlled interrupted time series(CITS)","-0.0441 (0.0747)","-0.0033 (0.0008)","91.85 (0.2900)","12.88 (0.3600)","0.0747 (0.0711)","0.0056 (0.0001)",-0.0408
"0",32,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0443 (0.1141)","-0.0035 (0.0012)","87.14 (0.3600)","15.49 (0.3900)","0.1141 (0.0945)","0.0130 (0.0002)",-0.0408
"0",32,"Small","Multivariable negative binomial regression(Trd)","-0.0281 (0.2583)","0.0127 (0.0028)","85.11 (0.3800)","15.10 (0.3800)","0.2583 (0.2117)","0.0668 (0.0010)",-0.0408
"0",32,"Moderate","Controlled interrupted time series(CITS)","-0.3641 (0.0770)","-0.0074 (0.0008)","91.57 (0.3000)","99.67 (0.0600)","0.0770 (0.0716)","0.0060 (0.0001)",-0.3567
"0",32,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3654 (0.1165)","-0.0087 (0.0013)","86.13 (0.3700)","93.74 (0.2600)","0.1165 (0.0946)","0.0137 (0.0002)",-0.3567
"0",32,"Moderate","Multivariable negative binomial regression(Trd)","-0.3457 (0.2627)","0.0110 (0.0028)","83.45 (0.4000)","43.75 (0.5300)","0.2627 (0.2094)","0.0691 (0.0011)",-0.3567
"0",32,"Large","Controlled interrupted time series(CITS)","-0.5165 (0.0777)","-0.0057 (0.0008)","90.63 (0.3100)","100.00 (0.0000)","0.0777 (0.0717)","0.0061 (0.0001)",-0.5108
"0",32,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5167 (0.1176)","-0.0059 (0.0013)","85.78 (0.3700)","99.75 (0.0500)","0.1176 (0.0949)","0.0139 (0.0002)",-0.5108
"0",32,"Large","Multivariable negative binomial regression(Trd)","-0.5007 (0.2606)","0.0101 (0.0028)","84.10 (0.3900)","65.30 (0.5100)","0.2606 (0.2091)","0.0680 (0.0011)",-0.5108
"0",36,"Small","Controlled interrupted time series(CITS)","-0.0447 (0.0716)","-0.0039 (0.0008)","91.64 (0.3000)","13.63 (0.3700)","0.0716 (0.0671)","0.0051 (0.0001)",-0.0408
"0",36,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0445 (0.1080)","-0.0037 (0.0012)","87.02 (0.3600)","16.01 (0.3900)","0.1080 (0.0891)","0.0117 (0.0002)",-0.0408
"0",36,"Small","Multivariable negative binomial regression(Trd)","-0.0376 (0.2460)","0.0032 (0.0026)","86.48 (0.3700)","13.64 (0.3700)","0.2460 (0.2079)","0.0605 (0.0009)",-0.0408
"0",36,"Moderate","Controlled interrupted time series(CITS)","-0.3624 (0.0717)","-0.0057 (0.0008)","91.77 (0.2900)","99.92 (0.0300)","0.0717 (0.0673)","0.0052 (0.0001)",-0.3567
