"rho","n","EstimandScenario","Method","R_total","R_converged","nonconv_rate","true_val","B_hat","Bias","MCSE_Bias","Bias_percent","MSE_estimate","MCSE_MSE","coverage","MCSE_coverage","power","MCSE_power","Empirical_SE","avg_model_SE","ratio_Emp_ModelSE","power_pct","MCSE_power_pct","coverage_pct","MCSE_cov_pct"
"0.4",100,"Small","Trd",8688,8688,0,-0.0408,-0.0412,-4e-04,0.0025,0.98,0.0526,0.000792420294768519,0.860842541436464,0.0037,0.143761510128913,0.0038,0.2295,0.1854,1.2379,14.38,0.38,86.08,0.37
"0.4",100,"Moderate","CITS",8688,8688,0,-0.3567,-0.3626,-0.0059,7e-04,1.65,0.0041,6.24973690830287e-05,0.895142725598527,0.0033,1,0,0.0634,0.0539,1.1763,100,0,89.51,0.33
"0.4",100,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.3626,-0.0059,7e-04,1.65,0.0041,6.41998059950144e-05,0.894221915285451,0.0033,1,0,0.0636,0.054,1.1778,100,0,89.42,0.33
"0.4",100,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2574,0.0993,7e-04,27.84,0.0139,0.000147073202935134,0.533609576427256,0.0054,0.991022099447514,0.001,0.0633,0.054,1.1722,99.1,0.1,53.36,0.54
"0.4",100,"Moderate","Trd",8688,8688,0,-0.3567,-0.3556,0.0011,0.0025,0.31,0.0526,0.000827275210620392,0.868324125230203,0.0036,0.513812154696133,0.0054,0.2295,0.185,1.2405,51.38,0.54,86.83,0.36
"0.4",100,"Large","CITS",8688,8688,0,-0.5108,-0.5173,-0.0065,7e-04,1.27,0.004,6.18931008953914e-05,0.901243093922652,0.0032,1,0,0.0627,0.054,1.1611,100,0,90.12,0.32
"0.4",100,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.5173,-0.0065,7e-04,1.27,0.0039,6.11548880287766e-05,0.901012891344383,0.0032,1,0,0.0625,0.0539,1.1596,100,0,90.1,0.32
"0.4",100,"Large","CITS_spill_3pct",8688,8688,0,-0.5108,-0.4119,0.0989,7e-04,19.36,0.0137,0.000145322545744551,0.523365561694291,0.0054,1,0,0.0627,0.054,1.1611,100,0,52.34,0.54
"0.4",100,"Large","Trd",8688,8688,0,-0.5108,-0.5105,3e-04,0.0025,0.06,0.0531,0.00082176886197953,0.861302946593002,0.0037,0.747467771639042,0.0047,0.2304,0.184,1.2522,74.75,0.47,86.13,0.37
"0.4",150,"Small","CITS",8688,8688,0,-0.0408,-0.0446,-0.0038,5e-04,9.31,0.0026,3.97615091158042e-05,0.905271639042357,0.0031,0.214433701657459,0.0044,0.051,0.0443,1.1512,21.44,0.44,90.53,0.31
